time,latitude,longitude,curl,ektrx,ektry
UTC,degrees_north,degrees_east,MPa m-1,kg m-1 s-1,kg m-1 s-1
2018-06-10T00:00:00Z,19.5,253.5,-0.09478212,64.32515,-93.68325
2018-06-10T00:00:00Z,19.5,254.5,-0.28898206,-83.12609,-728.9205
2018-06-10T00:00:00Z,19.5,255.5,-0.32695818,-387.23724,-2102.9514
2018-06-10T00:00:00Z,20.5,242.5,-0.5902589,-2191.7927,1824.0465
2018-06-10T00:00:00Z,20.5,243.5,-0.9252548,-2676.1445,2542.1746
2018-06-10T00:00:00Z,20.5,244.5,-1.4471483,-2954.4187,3287.1953
2018-06-10T00:00:00Z,20.5,245.5,-1.6763862,-2732.986,3791.2637
2018-06-10T00:00:00Z,20.5,246.5,-1.6146277,-1944.0977,3702.7515
2018-06-10T00:00:00Z,20.5,247.5,-1.3986953,-1136.4681,2730.0178
2018-06-10T00:00:00Z,20.5,248.5,-0.7419555,-548.6401,1697.576
2018-06-10T00:00:00Z,20.5,249.5,-0.32605016,-91.223526,1061.7516
2018-06-10T00:00:00Z,20.5,250.5,-0.24247143,93.86931,611.2642
2018-06-10T00:00:00Z,20.5,251.5,-0.15880817,56.240005,200.44447
2018-06-10T00:00:00Z,20.5,252.5,-0.08275867,-7.3348627,12.7330675
2018-06-10T00:00:00Z,20.5,253.5,-0.23050666,-159.60373,-184.10728
2018-06-10T00:00:00Z,20.5,254.5,-0.35405913,-695.9489,-1153.2357
2018-06-10T00:00:00Z,20.5,255.5,0.19697215,-888.35376,-2194.1797
2018-06-10T00:00:00Z,21.5,242.5,-0.40027574,-1248.5403,1015.29474
2018-06-10T00:00:00Z,21.5,243.5,-0.4906815,-1475.5869,1337.1912
2018-06-10T00:00:00Z,21.5,244.5,-0.55595905,-1585.3938,1603.1176
2018-06-10T00:00:00Z,21.5,245.5,-0.5760472,-1498.0084,1737.0071
2018-06-10T00:00:00Z,21.5,246.5,-0.5397527,-1188.363,1489.2966
2018-06-10T00:00:00Z,21.5,247.5,-0.37173003,-813.39417,879.5095
2018-06-10T00:00:00Z,21.5,248.5,-0.19248198,-398.83777,423.92844
2018-06-10T00:00:00Z,21.5,249.5,-0.14447068,-94.88897,198.15936
2018-06-10T00:00:00Z,21.5,250.5,-0.118604235,-16.734465,92.31365
2018-06-10T00:00:00Z,21.5,251.5,-0.06439993,-11.809166,25.152063
2018-06-10T00:00:00Z,21.5,252.5,-0.16964419,-93.31278,-10.112911
2018-06-10T00:00:00Z,21.5,253.5,-0.4532996,-604.43054,-368.56433
2018-06-10T00:00:00Z,21.5,254.5,-0.21551241,-1431.3782,-1431.7008
2018-06-10T00:00:00Z,21.5,255.5,0.5683971,-1076.0853,-1756.9266
2018-06-10T00:00:00Z,22.5,242.5,-0.2017149,-693.5747,507.08002
2018-06-10T00:00:00Z,22.5,243.5,-0.2898356,-789.32697,664.73676
2018-06-10T00:00:00Z,22.5,244.5,-0.35356078,-900.1121,756.4816
2018-06-10T00:00:00Z,22.5,245.5,-0.3966961,-958.29236,704.94495
2018-06-10T00:00:00Z,22.5,246.5,-0.32823762,-968.90173,477.48575
2018-06-10T00:00:00Z,22.5,247.5,-0.10963116,-791.0305,167.22495
2018-06-10T00:00:00Z,22.5,248.5,0.030223418,-378.16995,28.516712
2018-06-10T00:00:00Z,22.5,249.5,0.017435191,-94.46982,-11.446345
2018-06-10T00:00:00Z,22.5,250.5,-0.016658489,-6.8263454,-10.824951
2018-06-10T00:00:00Z,22.5,251.5,-0.059650715,-0.7644051,-1.2066085
2018-06-10T00:00:00Z,22.5,252.5,-0.36102545,-149.80763,-73.081894
2018-06-10T00:00:00Z,22.5,253.5,-0.62131906,-1170.166,-645.9559
2018-06-10T00:00:00Z,22.5,254.5,0.06934352,-2095.401,-1448.6759
2018-06-10T00:00:00Z,22.5,255.5,0.8482475,-1114.2307,-1238.7562
2018-06-10T00:00:00Z,23.5,242.5,-0.088670835,-450.28265,287.47083
2018-06-10T00:00:00Z,23.5,243.5,-0.17649336,-483.35327,306.5571
2018-06-10T00:00:00Z,23.5,244.5,-0.25770202,-617.2053,262.4008
2018-06-10T00:00:00Z,23.5,245.5,-0.31805405,-747.5354,112.92951
2018-06-10T00:00:00Z,23.5,246.5,-0.27984816,-919.9152,-90.63076
2018-06-10T00:00:00Z,23.5,247.5,-0.07142454,-869.188,-232.89821
2018-06-10T00:00:00Z,23.5,248.5,0.07075082,-460.6202,-213.25331
2018-06-10T00:00:00Z,23.5,249.5,0.07142014,-118.52493,-134.04984
2018-06-10T00:00:00Z,23.5,250.5,0.0058530387,7.4213886,-77.371666
2018-06-10T00:00:00Z,23.5,251.5,-0.097163774,4.1296973,-62.357426
2018-06-10T00:00:00Z,23.5,252.5,-0.41491592,-228.20117,-211.92488
2018-06-10T00:00:00Z,23.5,253.5,-0.5445855,-1326.3531,-755.9992
2018-06-10T00:00:00Z,23.5,254.5,0.2828291,-2204.017,-1099.778
2018-06-10T00:00:00Z,23.5,255.5,0.908173,-974.09045,-566.9676
2018-06-10T00:00:00Z,24.5,242.5,-0.0859153,-330.88553,146.16472
2018-06-10T00:00:00Z,24.5,243.5,-0.1728147,-412.55606,123.38616
2018-06-10T00:00:00Z,24.5,244.5,-0.27998546,-645.80475,4.3037252
2018-06-10T00:00:00Z,24.5,245.5,-0.3039764,-918.8387,-229.68155
2018-06-10T00:00:00Z,24.5,246.5,-0.21741489,-1057.0466,-484.59586
2018-06-10T00:00:00Z,24.5,247.5,-0.05129341,-944.23267,-593.63464
2018-06-10T00:00:00Z,24.5,248.5,0.110279545,-536.7059,-491.34268
2018-06-10T00:00:00Z,24.5,249.5,0.129408,-118.7304,-230.68758
2018-06-10T00:00:00Z,24.5,250.5,0.02957507,23.997696,-115.985115
2018-06-10T00:00:00Z,24.5,251.5,-0.07753186,10.849346,-120.23347
2018-06-10T00:00:00Z,24.5,252.5,-0.30466372,-209.25151,-237.53957
2018-06-10T00:00:00Z,24.5,253.5,-0.33188987,-1050.181,-578.81995
2018-06-10T00:00:00Z,24.5,254.5,0.30593863,-1631.3231,-639.3439
2018-06-10T00:00:00Z,24.5,255.5,0.6429617,-651.00854,-119.19672
2018-06-10T00:00:00Z,25.5,242.5,-0.09823117,-236.66206,38.709545
2018-06-10T00:00:00Z,25.5,243.5,-0.27173567,-427.37253,-9.630537
2018-06-10T00:00:00Z,25.5,244.5,-0.41819823,-826.51697,-236.33788
2018-06-10T00:00:00Z,25.5,245.5,-0.39707,-1199.5013,-561.3981
2018-06-10T00:00:00Z,25.5,246.5,-0.21241832,-1339.1073,-843.12054
2018-06-10T00:00:00Z,25.5,247.5,0.062073,-1092.7649,-948.9606
2018-06-10T00:00:00Z,25.5,248.5,0.24444495,-482.49542,-668.10596
2018-06-10T00:00:00Z,25.5,249.5,0.15122747,-49.806187,-246.75235
2018-06-10T00:00:00Z,25.5,250.5,0.023344822,40.14057,-101.11523
2018-06-10T00:00:00Z,25.5,251.5,-0.0482195,12.265213,-92.24677
2018-06-10T00:00:00Z,25.5,252.5,-0.22036158,-149.48125,-179.67403
2018-06-10T00:00:00Z,25.5,253.5,-0.18946235,-770.4364,-400.77832
2018-06-10T00:00:00Z,25.5,254.5,0.26209328,-1047.7163,-331.1814
2018-06-10T00:00:00Z,25.5,255.5,0.38330236,-321.21292,-4.239777
2018-06-10T00:00:00Z,26.5,242.5,-0.1287486,-224.93579,-38.492077
2018-06-10T00:00:00Z,26.5,243.5,-0.44612557,-513.0385,-205.24876
2018-06-10T00:00:00Z,26.5,244.5,-0.5963107,-1087.6815,-632.3655
2018-06-10T00:00:00Z,26.5,245.5,-0.5032366,-1480.0981,-1051.8982
2018-06-10T00:00:00Z,26.5,246.5,-0.2270765,-1603.6582,-1303.5806
2018-06-10T00:00:00Z,26.5,247.5,0.25027144,-1210.4255,-1245.6328
2018-06-10T00:00:00Z,26.5,248.5,0.41689593,-372.49164,-713.2599
2018-06-10T00:00:00Z,26.5,249.5,0.16329333,56.593422,-242.85648
2018-06-10T00:00:00Z,26.5,250.5,-0.01288801,97.483284,-92.27033
2018-06-10T00:00:00Z,26.5,251.5,-0.07164184,9.618513,-77.92734
2018-06-10T00:00:00Z,26.5,252.5,-0.14307962,-125.30782,-155.92001
2018-06-10T00:00:00Z,26.5,253.5,-0.109967545,-485.372,-241.97214
2018-06-10T00:00:00Z,26.5,254.5,0.15910855,-682.7158,-157.49191
2018-06-10T00:00:00Z,26.5,255.5,0.27656996,-162.82185,26.100088
2018-06-10T00:00:00Z,27.5,242.5,-0.2350696,-390.25873,-160.82123
2018-06-10T00:00:00Z,27.5,243.5,-0.6054731,-824.7954,-583.63556
2018-06-10T00:00:00Z,27.5,244.5,-0.6364271,-1471.4965,-1188.0924
2018-06-10T00:00:00Z,27.5,245.5,-0.43659255,-1769.5123,-1662.0367
2018-06-10T00:00:00Z,27.5,246.5,-0.039424647,-1719.3406,-1838.8523
2018-06-10T00:00:00Z,27.5,247.5,0.4840968,-1098.5148,-1363.7094
