CruiseId,     Station,    Date,Time_Local, Latitude,  Longitude,Scan_Count,  Depth_db, Depth_m,Salinity,Temperature_ITS90,Potential_Temperature_ITS90,Density_sigma_theta,Oxygen_SBE43_raw,Oxygen_SBE43,Fluorescence,    Flag
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     52607,   862.998,     856, 34.5318,           5.2268,                     5.1542,            27.2861,          0.5202,       2.083,     0.06674,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     52636,   861.982,     855, 34.5318,           5.2256,                     5.1531,            27.2862,          0.5202,       1.996,     0.06384,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     52659,   860.967,     854, 34.5314,           5.2337,                     5.1612,            27.2849,          0.5201,       2.070,     0.06512,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     52677,   859.961,     853, 34.5309,           5.2403,                     5.1680,            27.2837,          0.5199,       1.958,     0.06414,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     52692,   858.951,     852, 34.5311,           5.2419,                     5.1696,            27.2838,          0.5200,       1.959,     0.06626,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     52707,   857.947,     851, 34.5312,           5.2429,                     5.1707,            27.2836,          0.5198,       1.902,     0.06514,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     52721,   856.944,     850, 34.5310,           5.2463,                     5.1742,            27.2832,          0.5199,       2.035,     0.06355,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     52739,   855.942,     849, 34.5308,           5.2551,                     5.1830,            27.2819,          0.5200,       2.026,     0.06690,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     52795,   854.916,     848, 34.5316,           5.2493,                     5.1774,            27.2832,          0.5197,       1.940,     0.06428,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     52843,   853.894,     847, 34.5312,           5.2533,                     5.1814,            27.2825,          0.5194,       1.867,     0.06426,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     52859,   852.885,     846, 34.5319,           5.2523,                     5.1805,            27.2831,          0.5198,       1.875,     0.06547,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     52874,   851.882,     845, 34.5309,           5.2621,                     5.1903,            27.2811,          0.5195,       1.969,     0.06767,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     52887,   850.870,     844, 34.5307,           5.2721,                     5.2003,            27.2798,          0.5196,       2.004,     0.06475,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     52900,   849.871,     843, 34.5311,           5.2808,                     5.2091,            27.2791,          0.5193,       1.873,     0.06369,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     52914,   848.864,     842, 34.5313,           5.2911,                     5.2194,            27.2780,          0.5195,       1.874,     0.06452,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     52931,   847.859,     841, 34.5317,           5.3014,                     5.2297,            27.2771,          0.5193,       1.816,     0.06454,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     52978,   846.831,     840, 34.5316,           5.2895,                     5.2179,            27.2785,          0.5189,       1.779,     0.06578,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53015,   845.815,     839, 34.5318,           5.2863,                     5.2149,            27.2789,          0.5189,       1.762,     0.06212,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53033,   844.812,     838, 34.5320,           5.2833,                     5.2120,            27.2795,          0.5186,       1.705,     0.06619,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53051,   843.808,     837, 34.5322,           5.3103,                     5.2390,            27.2764,          0.5183,       1.581,     0.06655,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53073,   842.802,     836, 34.5321,           5.3313,                     5.2599,            27.2739,          0.5186,       1.769,     0.06303,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53110,   841.780,     835, 34.5326,           5.3280,                     5.2567,            27.2746,          0.5184,       1.721,     0.06541,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53144,   840.770,     834, 34.5334,           5.3100,                     5.2389,            27.2774,          0.5184,       1.757,     0.06498,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53170,   839.757,     833, 34.5328,           5.3073,                     5.2363,            27.2772,          0.5180,       1.558,     0.06156,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53191,   838.746,     832, 34.5324,           5.3431,                     5.2719,            27.2727,          0.5177,       1.418,     0.06634,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53209,   837.739,     831, 34.5323,           5.3548,                     5.2837,            27.2712,          0.5177,       1.510,     0.06639,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53225,   836.732,     830, 34.5324,           5.3556,                     5.2846,            27.2712,          0.5177,       1.612,     0.06639,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53241,   835.725,     829, 34.5322,           5.3564,                     5.2854,            27.2709,          0.5177,       1.672,     0.06487,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53259,   834.719,     828, 34.5323,           5.3596,                     5.2887,            27.2706,          0.5178,       1.642,     0.06175,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53279,   833.708,     827, 34.5323,           5.3634,                     5.2926,            27.2702,          0.5176,       1.626,     0.06324,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53306,   832.696,     826, 34.5331,           5.3524,                     5.2817,            27.2721,          0.5177,       1.596,     0.06470,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53342,   831.679,     825, 34.5329,           5.3526,                     5.2821,            27.2719,          0.5175,       1.569,     0.06651,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53374,   830.667,     824, 34.5334,           5.3521,                     5.2816,            27.2723,          0.5175,       1.567,     0.06575,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53399,   829.660,     823, 34.5335,           5.3678,                     5.2973,            27.2705,          0.5173,       1.503,     0.06477,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53422,   828.653,     822, 34.5330,           5.3903,                     5.3198,            27.2675,          0.5173,       1.507,     0.06424,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53446,   827.642,     821, 34.5336,           5.3894,                     5.3190,            27.2680,          0.5174,       1.638,     0.06713,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53473,   826.630,     820, 34.5333,           5.3897,                     5.3194,            27.2677,          0.5171,       1.421,     0.06691,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53498,   825.620,     819, 34.5334,           5.3944,                     5.3241,            27.2673,          0.5172,       1.526,     0.06335,0.00E+00
  NH1410,          2T,20040526,      0648, 18.90120, -108.80025,     53522,   824.610,     818, 34.5330,           5.4058,                     5.3356,            27.2655,          0.5164,       1.254,     0.06791,0.00E+00
