CruiseId,     Station,    Date,Time_Local, Latitude,  Longitude,Scan_Count,  Depth_db, Depth_m,Salinity,Temperature_ITS90,Potential_Temperature_ITS90,Density_sigma_theta,Oxygen_SBE43_raw,Oxygen_SBE43,Fluorescence,    Flag
  NH1315,           2,20130622,      1449, 18.92030, -108.79940,     82080,  1214.448,    1204, 34.5636,           3.6862,                     3.5952,            27.4800,          0.6779,      25.072,     0.10989,0.00E+00
  NH1315,           2,20130622,      1449, 18.92030, -108.79940,     82104,  1213.632,    1203, 34.5634,           3.6891,                     3.5981,            27.4796,          0.6777,      25.027,     0.10989,0.00E+00
  NH1315,           2,20130622,      1449, 18.92030, -108.79940,     82128,  1212.308,    1201, 34.5634,           3.6890,                     3.5982,            27.4796,          0.6776,      24.710,     0.10938,0.00E+00
  NH1315,           2,20130622,      1449, 18.92030, -108.79940,     82152,  1210.861,    1200, 34.5634,           3.6892,                     3.5985,            27.4795,          0.6778,      25.037,     0.10989,0.00E+00
  NH1315,           2,20130622,      1449, 18.92030, -108.79940,     82176,  1209.679,    1199, 34.5636,           3.6889,                     3.5983,            27.4797,          0.6776,      24.799,     0.10938,0.00E+00
  NH1315,           2,20130622,      1449, 18.92030, -108.79940,     82200,  1209.163,    1198, 34.5637,           3.6888,                     3.5982,            27.4798,          0.6774,      24.794,     0.10989,0.00E+00
  NH1315,           2,20130622,      1449, 18.92030, -108.79940,     82224,  1209.369,    1199, 34.5638,           3.6887,                     3.5980,            27.4799,          0.6776,      24.940,     0.10938,0.00E+00
  NH1315,           2,20130622,      1449, 18.92030, -108.79940,     82248,  1209.862,    1199, 34.5638,           3.6881,                     3.5974,            27.4800,          0.6774,      24.732,     0.10989,0.00E+00
  NH1315,           2,20130622,      1449, 18.92030, -108.79940,     82272,  1210.231,    1199, 34.5636,           3.6880,                     3.5973,            27.4799,          0.6771,      24.657,     0.10989,0.00E+00
  NH1315,           2,20130622,      1449, 18.92030, -108.79940,     82296,  1210.367,    1200, 34.5637,           3.6877,                     3.5970,            27.4800,          0.6778,      25.047,     0.10989,0.00E+00
  NH1315,           2,20130622,      1449, 18.92030, -108.79940,     82320,  1209.993,    1199, 34.5634,           3.6882,                     3.5975,            27.4797,          0.6777,      25.310,     0.11040,0.00E+00
  NH1315,           2,20130622,      1449, 18.92030, -108.79940,     82344,  1208.775,    1198, 34.5634,           3.6898,                     3.5992,            27.4794,          0.6776,      24.802,     0.10989,0.00E+00
  NH1315,           2,20130622,      1449, 18.92030, -108.79940,     82368,  1207.043,    1196, 34.5631,           3.6940,                     3.6035,            27.4788,          0.6777,      24.868,     0.10989,0.00E+00
  NH1315,           2,20130622,      1449, 18.92030, -108.79940,     82392,  1205.540,    1195, 34.5630,           3.6978,                     3.6075,            27.4783,          0.6769,      24.495,     0.10989,0.00E+00
  NH1315,           2,20130622,      1449, 18.92030, -108.79940,     82416,  1204.960,    1194, 34.5629,           3.7006,                     3.6102,            27.4780,          0.6768,      24.364,     0.10938,0.00E+00
  NH1315,           2,20130622,      1449, 18.92030, -108.79940,     82440,  1205.193,    1194, 34.5633,           3.6984,                     3.6080,            27.4785,          0.6764,      24.340,     0.10989,0.00E+00
  NH1315,           2,20130622,      1449, 18.92030, -108.79940,     82464,  1205.746,    1195, 34.5635,           3.6937,                     3.6033,            27.4791,          0.6764,      24.580,     0.10989,0.00E+00
  NH1315,           2,20130622,      1449, 18.92030, -108.79940,     82488,  1206.011,    1195, 34.5634,           3.6917,                     3.6013,            27.4793,          0.6768,      25.063,     0.10989,0.00E+00
  NH1315,           2,20130622,      1449, 18.92030, -108.79940,     82512,  1205.280,    1195, 34.5629,           3.6994,                     3.6090,            27.4781,          0.6768,      24.930,     0.10989,0.00E+00
  NH1315,           2,20130622,      1449, 18.92030, -108.79940,     82536,  1203.835,    1193, 34.5629,           3.7017,                     3.6114,            27.4779,          0.6768,      24.702,     0.10989,0.00E+00
