PLATFORM_CODE,DATE (YYYY-MM-DDTHH:MI:SSZ),DATE_QC,LATITUDE (degree_north),LONGITUDE (degree_east),POSITION_QC,PRES (decibar),PRES_QC,PSAL (psu),PSAL_QC,TEMP (degree_Celsius),TEMP_QC,DOX2 (micromole/kg),DOX2_QC,CPHL (milligram/m3),CPHL_QC,PHPH (none),PHPH_QC,CDOM (ppb),CDOM_QC,DOX2_ADJUSTED (micromole/kg),DOX2_ADJUSTED_QC,DOX2_ADJUSTED_ERROR (micromole/kg),DOX2_ADJUSTED_ERROR_QC,BBP700 (m-1),BBP700_QC,LGHT (micro einstein m-2 s-1),LGHT_QC,DOWN_IRRADIANCE380 (W m-2 nm-1),DOWN_IRRADIANCE380_QC,DOWN_IRRADIANCE412 (W m-2 nm-1),DOWN_IRRADIANCE412_QC,DOWN_IRRADIANCE490 (W m-2 nm-1),DOWN_IRRADIANCE490_QC,CPHL_ADJUSTED (milligram/m3),CPHL_ADJUSTED_QC
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,71.02,1,34.386,1,15.737,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,72.93,1,34.396,1,15.6239,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,74.89,1,34.429,1,15.4599,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,76.98,1,34.407,1,15.2755,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,79.12,1,34.403,1,15.0126,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,81.11,1,34.414,1,15.0055,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,83.02,1,34.419,1,14.8196,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,85.05,1,34.442,1,14.6526,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,87.12,1,34.485,1,14.5401,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,89.08,1,34.51,1,14.4326,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,91.03,1,34.527,1,14.3081,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,93.12,1,34.542,1,14.1791,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,95.11,1,34.55,1,14.0717,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,97.12,1,34.558,1,13.9062,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,99.01,1,34.565,1,13.7987,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,100.87,1,34.569,1,13.6974,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,102.87,1,34.582,1,13.5781,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,104.97,1,34.596,1,13.4947,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,107.12,1,34.634,1,13.4079,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,109.07,1,34.644,1,13.3482,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,110.93,1,34.646,1,13.3012,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,112.92,1,34.643,1,13.2818,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,114.92,1,34.639,1,13.2606,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,116.93,1,34.634,1,13.2242,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,119.07,1,34.626,1,13.0325,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,121.08,1,34.628,1,12.9211,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,122.93,1,34.634,1,12.8781,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,125.04,1,34.644,1,12.8465,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,127.0,1,34.648,1,12.7702,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,128.8,1,34.644,1,12.7125,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,130.94,1,34.645,1,12.637,1,,,,,,,,,,,,,,,,,,,,,,,,
