//<Encoding>UTF-8</Encoding>
Cruise	QF	Station	QF	Type	QF	yyyy-mm-ddThh:mm:ss.sss	QF	Longitude [degrees_east]	QF	Latitude [degrees_north]	QF	QV:ODV:STATION	Dummy Var	Longitude	Latitude	Time [yr]	Day of Year	Longitude @ Dummy Var=first	Latitude @ Dummy Var=first	Time [yr] @ Dummy Var=first	Day of Year @ Dummy Var=first	Depth [m]  at  Oxygen [ml/l]=0.45 @ Depth [m]  at  Oxygen [ml/l]=0.45=first
WOA13_1.00deg_1955-2012_Annual	1	25674	1	B	1		1	240.50000	1	12.50000	1	1	0	240.5	12.5			240.5	12.5			132.468
WOA13_1.00deg_1955-2012_Annual	1	25675	1	B	1		1	241.50000	1	12.50000	1	1	0	241.5	12.5			241.5	12.5			129.848
WOA13_1.00deg_1955-2012_Annual	1	25676	1	B	1		1	242.50000	1	12.50000	1	1	0	242.5	12.5			242.5	12.5			133.767
WOA13_1.00deg_1955-2012_Annual	1	25677	1	B	1		1	243.50000	1	12.50000	1	1	0	243.5	12.5			243.5	12.5			129.96
WOA13_1.00deg_1955-2012_Annual	1	25678	1	B	1		1	244.50000	1	12.50000	1	1	0	244.5	12.5			244.5	12.5			131.132
WOA13_1.00deg_1955-2012_Annual	1	25679	1	B	1		1	245.50000	1	12.50000	1	1	0	245.5	12.5			245.5	12.5			129.959
WOA13_1.00deg_1955-2012_Annual	1	25680	1	B	1		1	246.50000	1	12.50000	1	1	0	246.5	12.5			246.5	12.5			131.849
WOA13_1.00deg_1955-2012_Annual	1	25681	1	B	1		1	247.50000	1	12.50000	1	1	0	247.5	12.5			247.5	12.5			135.734
WOA13_1.00deg_1955-2012_Annual	1	25682	1	B	1		1	248.50000	1	12.50000	1	1	0	248.5	12.5			248.5	12.5			135.414
WOA13_1.00deg_1955-2012_Annual	1	25683	1	B	1		1	249.50000	1	12.50000	1	1	0	249.5	12.5			249.5	12.5			138.107
WOA13_1.00deg_1955-2012_Annual	1	25684	1	B	1		1	250.50000	1	12.50000	1	1	0	250.5	12.5			250.5	12.5			130.196
WOA13_1.00deg_1955-2012_Annual	1	25685	1	B	1		1	251.50000	1	12.50000	1	1	0	251.5	12.5			251.5	12.5			137.65
WOA13_1.00deg_1955-2012_Annual	1	25686	1	B	1		1	252.50000	1	12.50000	1	1	0	252.5	12.5			252.5	12.5			138.321
WOA13_1.00deg_1955-2012_Annual	1	25687	1	B	1		1	253.50000	1	12.50000	1	1	0	253.5	12.5			253.5	12.5			133.778
WOA13_1.00deg_1955-2012_Annual	1	25688	1	B	1		1	254.50000	1	12.50000	1	1	0	254.5	12.5			254.5	12.5			133.277
WOA13_1.00deg_1955-2012_Annual	1	25689	1	B	1		1	255.50000	1	12.50000	1	1	0	255.5	12.5			255.5	12.5			134.899
WOA13_1.00deg_1955-2012_Annual	1	25690	1	B	1		1	256.50000	1	12.50000	1	1	0	256.5	12.5			256.5	12.5			132.662
WOA13_1.00deg_1955-2012_Annual	1	25691	1	B	1		1	257.50000	1	12.50000	1	1	0	257.5	12.5			257.5	12.5			130.658
WOA13_1.00deg_1955-2012_Annual	1	25692	1	B	1		1	258.50000	1	12.50000	1	1	0	258.5	12.5			258.5	12.5			126.998
WOA13_1.00deg_1955-2012_Annual	1	25693	1	B	1		1	259.50000	1	12.50000	1	1	0	259.5	12.5			259.5	12.5			128.882
WOA13_1.00deg_1955-2012_Annual	1	25940	1	B	1		1	240.50000	1	13.50000	1	1	0	240.5	13.5			240.5	13.5			144.35
WOA13_1.00deg_1955-2012_Annual	1	25941	1	B	1		1	241.50000	1	13.50000	1	1	0	241.5	13.5			241.5	13.5			142.788
WOA13_1.00deg_1955-2012_Annual	1	25942	1	B	1		1	242.50000	1	13.50000	1	1	0	242.5	13.5			242.5	13.5			149.644
WOA13_1.00deg_1955-2012_Annual	1	25943	1	B	1		1	243.50000	1	13.50000	1	1	0	243.5	13.5			243.5	13.5			148.053
WOA13_1.00deg_1955-2012_Annual	1	25944	1	B	1		1	244.50000	1	13.50000	1	1	0	244.5	13.5			244.5	13.5			146.815
WOA13_1.00deg_1955-2012_Annual	1	25945	1	B	1		1	245.50000	1	13.50000	1	1	0	245.5	13.5			245.5	13.5			145.233
